PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,dataEditNotes
JJ Vollenweider,Emailed,Project Data,fish,545,Normal,2007,2010,,,NOAA,
Thomas Loughlin,Replied,Project Data,mammals,547,Normal,1989,1989,,,NOAA,
Tim Linley,Unrecoverable,Project Data fil report,fish,549,Normal,2007,2009,,non digital,MariCal,
Jenny Purcell,Replied,Project Data,fish,551,Normal,1998,2000,,,WWash Univ.,
Kenneth Currens,Replied,Project Data,fish,560,Normal,1996,1999,,,Idaho St. U.?,
Randall Davis,Replied,Project Data,mammals,562,Normal,1999,2002,,,Texas A&M,
Nick Dudiak,Unrecoverable,Project Data - no info,fish,564,Normal,1992,1992,,no contact info,ADFG,
David Evans,Replied,Project Data,fish,567,Normal,1989,1992,,,ADFG,
Brian Fadely,Replied,Project Data,mammals,570,Normal,1995,1998,,,NOAA,
Jim Fall,Replied,Project Data,mammals,572,Normal,1994,2000,,,ADFG,
Vicki Friesen,Replied,Project Data,marineBirds,574,Normal,1997,2000,,,APEX,
Hal Geiger,Unrecoverable,Project Data - origils hard copy,modeling,576,Normal,1990,1992,,requested funding,ADFG,
Gail Irvine,Replied,Project Data,habitat,581,Normal,2002,2003,,,USGS,
Gail Irvine,Replied,Project Data,oil,583,Normal,1999,1999,,,USGS,
Gail Irvine,Replied,Project Data,inverts,585,Normal,1991,1991,,,USGS,
Gail Irvine,Replied,Project Data,habitat,587,Normal,2004,2004,,,USGS,
Kelly Hepler,Unrecoverable,Project Data,fish,590,Normal,1989,1992,,data lost,ADFG,
Andrew Hoffman,Replied,Project Data,fish,592,Normal,1989,1992,,,ADFG,
Lisa Hutchinson-Scarbrough,Unrecoverable,Project Data - data in reports,fish,596,Normal,1997,2002,,non digital,ADFG,
Gary Kompkoff,Unrecoverable,Project Data - no info,fish,599,Normal,1995,2000,,no contact info,ADFG,
Dan Mann,Emailed,Project Data,fish,603,Normal,2002,2004,,,UAF,
Jim Bodkin,Replied,Sea otter aerial surveys,fish,605,High,1999,2003,,,USGS,
Jim Bodkin,Replied,Harlequin ducks,fish,605,Normal,1999,2003,,,USGS,
Jim Bodkin,Replied,Project Data - check with Brenda Ballachey,habitat,608,High,2003,2010,,,USGS,
Da Schmidt,Emailed,Kei Peninsula Data,fish,610,Normal,1990,1997,,,ADFG,
Da Schmidt,Unrecoverable,kodiak hydroacoustic + townet surveys of juvenile salmon,fish,610,Normal,1990,1997,,data uvailable,ADFG,
Jim Bodkin,Replied,Project Data - check with Brenda Ballachey,mammals,611,High,2004,2004,,,USGS,
Betsy Parry,Replied,Project Data - no info,terrestrial,614,Normal,1995,1995,,,ADFG,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,617,High,2007,2010,,,USGS,
Thomas Okey,Replied,Origil Ecopath Model Dataset,modeling,622,Normal,1998,2000,,,U. Vic,
Thomas Okey,Replied,Updated Ecopath Model Dataset,modeling,622,Normal,1998,2000,,,U. Vic,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,627,High,1993,1994,,,USGS,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,629,High,2001,2001,,,USGS,
Brenda Ballachey,Replied,Project Data - Rose Cunningham,fish,631,High,2004,2004,,,USGS,
Brenda Ballachey,Replied,MM06-D: Sea Otter Prey Selection and Foraging Success in Western PWS,mammals,634,Normal,1992,1992,,,USGS,
Brenda Ballachey,Replied,MM06 series,mammals,634,High,1989,1989,,,USGS,
Dan Monson,Emailed,MM06-15: Age Distributions of Sea Otters Found Dead,mammals,634,Normal,1992,1992,,,USGS,
Tim Bowman,Replied,Steve Lewis working on data,terrestrial,637,High,1995,1995,,,USFWS,
Tim Bowman,Replied,Steve Lewis working on data,terrestrial,639,High,1989,1992,,,USFWS,
David Irons,Replied,Project Data,marineBirds,643,Low,1995,1995,,,USFWS,
Jeep Rice,Replied,Project Data,oil,646,Low,2002,2003,,,NOAA,
Jeep Rice,Replied,Project Data,oil,648,Low,2003,2004,,,NOAA,
Jeep Rice,Replied,Project Data,fish,650,Low,2004,2004,,,NOAA,
Jia Wang,Replied,Follow-up for model code with Jia,modeling,661,Normal,1995,1998,,,UAF,
Mark Carls,Emailed,Project Data,fish,665,Normal,1995,1996,,,NOAA,
Mark Carls,Emailed,Project Data,fish,667,Normal,1999,1999,,,NOAA,
Mark Carls,Emailed,Project Data,fish,669,Normal,2000,2001,,,NOAA,
John Piatt,Emailed,Project Data,fish,672,Normal,1995,1996,,,USGS,
John Piatt,Emailed,Project Data,fish,674,Normal,1996,1996,marine birds,,USGS,
John Piatt,Emailed,Project Data,marineBirds,676,Normal,1999,2002,,,USGS,
John Piatt,Emailed,Project Data,marineBirds,678,Normal,2000,2000,,,USGS,
John Piatt,Emailed,Project Data,marineBirds,680,Normal,2002,2002,,,USGS,
John Piatt,Emailed,Project Data,marineBirds,682,Normal,1998,2001,,,USGS,
Dan Rosenberg,Replied,Project Data - June Follow-up,marineBirds,686,High,1998,2001,,,ADFG,
Michel Boufadel,Replied,Project Data,oil,695,High,2007,2011,,,NJ Inst. Of Tech,
Gary Marty,Unrecoverable,Refused to share data,fish,698,Normal,2000,2003,,unwilling to share,NOAA,
Gary Marty,Unrecoverable,Refused to share data,fish,700,Normal,1994,1995,,unwilling to share,NOAA,
Gary Marty,Unrecoverable,Refused to share data,oil,702,Normal,1989,1990,,unwilling to share,NOAA,
Richard Kocan,Emailed,Disease data,fish,704,Normal,1996,1999,,,UCD,
Mandy Lindeberg,Replied,ShoreZone Video,habitat,707,Low,2007,2007,,,NOAA,
Mandy Lindeberg,Replied,Shorezone Photographs,habitat,707,Low,2007,2007,,,NOAA,
Mary Anne Bishop,Unrecoverable,"Project Data with EVOSTC - refused, unpublished",inverts,709,High,2003,2004,,unwilling to share,PWSSC,
Mary Anne Bishop,Unrecoverable,Project Data ongoing,marineBirds,711,Normal,2007,2009,,archived with current data,PWSSC,
Mary Anne Bishop,Replied,Project Data,fish,713,High,1994,1999,,,PWSSC,
Mary Anne Bishop,Unrecoverable,Project Data Fil Report,marineBirds,715,Normal,1999,1999,,non digital,PWSSC,
Shari Vaughan,Emailed,302-M and 320-T,oceanography,717,Normal,1995,1999,,,Navy,
Marilyn Dahlheim,Unrecoverable,Olga/NOAA,mammals,729,High,1989,1990,,data lost,NOAA,
Marilyn Dahlheim,Published,hydrocarbon DB,mammals,729,Normal,1989,1992,,,NOAA,
