PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,category,
Chuck O'Clair,Replied,spot shrimp abundance,inverts,1461,Normal,1999,2002,,,NOAA,,,
Cody,Published,,marineBirds,,,1993,1993,colony surveys,,Sound Eco Adventures,,,
Cokelet,Published,,oceanography,,,2004,2008,oceanography,,NOAA,,,
Cooney,Published,,oceanography,,,1994,1997,plankton,,UAF,,,
Cooper,Published,,oceanography,,,2003,2003,river flow,,Cook Inletkeeper,,,
Craig Matkin,Unrecoverable,Satellite tags,mammals,127,Normal,1995,2012,,unwilling to share,NGOS,,,
Crawford,Published,,oceanography,,,2004,2005,oceanography,,PWSSC,,,
Dale Kiefer,Emailed,810 - Model input data,modeling,1368,Normal,2007,2007,,,USC,,,
Dale Kiefer,Emailed,data for website,fish,1456,Normal,2004,2004,,,USC,,,
Dan Esler,Replied,data is with EVOSTC,marineBirds,812,Normal,1999,2000,,,EVOS,,,
Dan Esler,Replied,data is with EVOSTC,marineBirds,815,Normal,2011,2011,,,EVOS,,,
Dan Gillikin,Replied,Call dan at FS,fish,756,Normal,1996,1996,,,FWS,,,
Dan Gillikin,Replied,Project Data,fish,744,Normal,1994,1999,,,FWS,,,
Dan Gillikin,Replied,Project Data,fish,753,Normal,1996,2002,,,FWS,,,
Dan Mann,Emailed,Project Data,fish,603,Normal,2002,2004,,,UAF,,,
Dan Monson,Emailed,MM06-15: Age Distributions of Sea Otters Found Dead,mammals,634,Normal,1992,1992,,,USGS,,,
Dan Moore,Unrecoverable,"no fil report, no info",fish,843,Normal,1994,1994,,no contact info,USGS,,,
Dan Roby,Emailed,Project Data,marineBirds,731,Normal,1995,2000,,,USFWS,,,
Dan Roby,Emailed,Project Data,marineBirds,733,Normal,1998,2001,,,USFWS,,,
Dan Rosenberg,Replied,Project Data June,marineBirds,113,High,1994,1998,,,ADFG,,,
Dan Rosenberg,Replied,Find data already submitted to EVOSTC,marineBirds,85,High,2000,2009,,,ADFG,,,
