PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes
David Nysewander,Unrecoverable,Arthur Kettle responded all data available is in fil reports,marineBirds,513,Normal,1989,1991,NA,non digital,WDFG,marine,biological-birds,
Don Dragoo,Unrecoverable,Chiswell Islands - Leslie sent fil reports,marineBirds,515,Normal,1992,1992,NA,non digital,AMNWR,marine,biological-birds,
Don Dragoo,Unrecoverable,Arthur Kettle responded all Barren Islands data available is in fil reports,marineBirds,515,Normal,1992,1992,NA,non digital,AMNWR,marine,biological-birds,
Dave Roseneau,Unrecoverable,"1998, 2001 population census - leslie slater sent fil report",marineBirds,518,Normal,1996,2002,NA,non digital,USFWS,marine,biological-birds,
Dave Roseneau,Unrecoverable,Arthur Kettle responded all Barren Islands data available is in fil reports,marineBirds,520,Normal,1995,2000,NA,non digital,USFWS,marine,biological-birds,
Dave Roseneau,Unrecoverable,Arthur Kettle responded all Barren Islands data available is in fil reports,marineBirds,523,Normal,1993,1995,NA,non digital,USFWS,marine,biological-birds,
Dave Roseneau,Unrecoverable,Arthur Kettle responded all data available is in fil reports,fish,527,Normal,1995,2000,NA,no contact info,USFWS,marine,biological-fish,
Dick Thorne,Emailed,surveys,habitat,532,Normal,2004,2004,NA,NA,PWSSC,marine,ecosystem/habitat,
Dick Thorne,Replied,Project Data,fish,534,Normal,2007,2007,NA,NA,PWSSC,marine,biological-fish,
Paul Hershberger,Replied,Project Data,fish,536,Normal,2007,2007,NA,NA,USGS,marine,biological-fish,
Bill Ostrand,Replied,Project Data,marineBirds,540,Normal,1989,1990,NA,NA,APEX,marine,biological-birds,
Karen Oakley,SentData,Tissue hydrocarbon samples in Hydrocarbon Database,marineBirds,542,Normal,1989,1990,NA,NA,USFWS,marine,biological-birds,
JJ Vollenweider,Emailed,Project Data,fish,545,Normal,2007,2010,NA,NA,NOAA,marine,biological-fish,
Thomas Loughlin,Replied,Project Data,mammals,547,Normal,1989,1989,NA,NA,NOAA,marine,biological-mammals,
Tim Linley,Unrecoverable,Project Data fil report,fish,549,Normal,2007,2009,NA,non digital,MariCal,marine,biological-fish,
Jenny Purcell,Replied,Project Data,fish,551,Normal,1998,2000,NA,NA,WWash Univ.,marine,biological-fish,
Kenneth Currens,Replied,Project Data,fish,560,Normal,1996,1999,NA,NA,Idaho St. U.?,marine,biological-fish,
Randall Davis,Replied,Project Data,mammals,562,Normal,1999,2002,NA,NA,Texas A&M,marine,biological-mammals,
Nick Dudiak,Unrecoverable,Project Data - no info,fish,564,Normal,1992,1992,NA,no contact info,ADFG,marine,biological-fish,
David Evans,Replied,Project Data,fish,567,Normal,1989,1992,NA,NA,ADFG,marine,biological-fish,
Brian Fadely,Replied,Project Data,mammals,570,Normal,1995,1998,NA,NA,NOAA,marine,biological-mammals,
Jim Fall,Replied,Project Data,mammals,572,Normal,1994,2000,NA,NA,ADFG,marine,biological-mammals,
Vicki Friesen,Replied,Project Data,marineBirds,574,Normal,1997,2000,NA,NA,APEX,marine,biological-birds,
Hal Geiger,Unrecoverable,Project Data - origils hard copy,modeling,576,Normal,1990,1992,NA,requested funding,ADFG,marine,ecosystem/habitat,
Gail Irvine,Replied,Project Data,habitat,581,Normal,2002,2003,NA,NA,USGS,marine,ecosystem/habitat,
