PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes,project
Dave Roseneau,Unrecoverable,Arthur Kettle responded all data available is in fil reports,fish,527,Normal,1995,2000,NA,no contact info,USFWS,marine,biological-fish,,Unrecoverable-527
Paul Hershberger,Replied,Project Data,fish,536,Normal,2007,2007,NA,NA,USGS,marine,biological-fish,,Replied-536
Bill Ostrand,Replied,Project Data,marineBirds,540,Normal,1989,1990,NA,NA,APEX,marine,biological-birds,,Replied-540
Karen Oakley,SentData,Tissue hydrocarbon samples in Hydrocarbon Database,marineBirds,542,Normal,1989,1990,NA,NA,USFWS,marine,biological-birds,,SentData-542
JJ Vollenweider,Emailed,Project Data,fish,545,Normal,2007,2010,NA,NA,NOAA,marine,biological-fish,,Emailed-545
Thomas Loughlin,Replied,Project Data,mammals,547,Normal,1989,1989,NA,NA,NOAA,marine,biological-mammals,,Replied-547
Tim Linley,Unrecoverable,Project Data fil report,fish,549,Normal,2007,2009,NA,non digital,MariCal,marine,biological-fish,,Unrecoverable-549
Jenny Purcell,Replied,Project Data,fish,551,Normal,1998,2000,NA,NA,WWash Univ.,marine,biological-fish,,Replied-551
Kenneth Currens,Replied,Project Data,fish,560,Normal,1996,1999,NA,NA,Idaho St. U.?,marine,biological-fish,,Replied-560
Randall Davis,Replied,Project Data,mammals,562,Normal,1999,2002,NA,NA,Texas A&M,marine,biological-mammals,,Replied-562
Nick Dudiak,Unrecoverable,Project Data - no info,fish,564,Normal,1992,1992,NA,no contact info,ADFG,marine,biological-fish,,Unrecoverable-564
David Evans,Replied,Project Data,fish,567,Normal,1989,1992,NA,NA,ADFG,marine,biological-fish,,Replied-567
Brian Fadely,Replied,Project Data,mammals,570,Normal,1995,1998,NA,NA,NOAA,marine,biological-mammals,,Replied-570
Jim Fall,Replied,Project Data,mammals,572,Normal,1994,2000,NA,NA,ADFG,marine,biological-mammals,,Replied-572
Vicki Friesen,Replied,Project Data,marineBirds,574,Normal,1997,2000,NA,NA,APEX,marine,biological-birds,,Replied-574
Hal Geiger,Unrecoverable,Project Data - origils hard copy,modeling,576,Normal,1990,1992,NA,requested funding,ADFG,marine,modeling,,Unrecoverable-576
Gail Irvine,Replied,Project Data,habitat,581,Normal,2002,2003,NA,NA,USGS,marine,biological-habitat,,Replied-581
Gail Irvine,Replied,Project Data,oil,583,Normal,1999,1999,NA,NA,USGS,marine,oil,,Replied-583
Gail Irvine,Replied,Project Data,inverts,585,Normal,1991,1991,NA,NA,USGS,marine,biological-benthicInverts,,Replied-585
Gail Irvine,Replied,Project Data,habitat,587,Normal,2004,2004,NA,NA,USGS,marine,biological-habitat,,Replied-587
Kelly Hepler,Unrecoverable,Project Data,fish,590,Normal,1989,1992,NA,data lost,ADFG,marine,biological-fish,,Unrecoverable-590
Andrew Hoffman,Replied,Project Data,fish,592,Normal,1989,1992,NA,NA,ADFG,marine,biological-fish,,Replied-592
Lisa Hutchinson-Scarbrough,Unrecoverable,Project Data - data in reports,fish,596,Normal,1997,2002,NA,non digital,ADFG,marine,biological-fish,,Unrecoverable-596
Gary Kompkoff,Unrecoverable,Project Data - no info,fish,599,Normal,1995,2000,NA,no contact info,ADFG,marine,biological-fish,,Unrecoverable-599
Dan Mann,Emailed,Project Data,fish,603,Normal,2002,2004,NA,NA,UAF,marine,biological-fish,,Emailed-603
Jim Bodkin,Replied,Sea otter aerial surveys,fish,605,High,1999,2003,NA,NA,USGS,marine,biological-fish,,Replied-605
Jim Bodkin,Replied,Project Data - check with Brenda Ballachey,habitat,608,High,2003,2010,NA,NA,USGS,marine,biological-habitat,,Replied-608
Jim Bodkin,Replied,Project Data - check with Brenda Ballachey,mammals,611,High,2004,2004,NA,NA,USGS,marine,biological-mammals,,Replied-611
Betsy Parry,Replied,Project Data - no info,terrestrial,614,Normal,1995,1995,NA,NA,ADFG,terrestrial/freshWater,biological-benthicInverts,,Replied-614
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,617,High,2007,2010,NA,NA,USGS,marine,biological-mammals,,Replied-617
Thomas Okey,Replied,Origil Ecopath Model Dataset,modeling,622,Normal,1998,2000,NA,NA,U. Vic,marine,modeling,,Replied-622
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,627,High,1993,1994,NA,NA,USGS,marine,biological-mammals,,Replied-627
Brenda Ballachey,Replied,Project Data - Rose Cunningham,mammals,629,High,2001,2001,NA,NA,USGS,marine,biological-mammals,,Replied-629
Brenda Ballachey,Replied,Project Data - Rose Cunningham,fish,631,High,2004,2004,NA,NA,USGS,marine,biological-mammals,,Replied-631
Tim Bowman,Replied,Steve Lewis working on data,terrestrial,637,High,1995,1995,NA,NA,USFWS,terrestrial/freshWater,biological-birds,,Replied-637
Tim Bowman,Replied,Steve Lewis working on data,terrestrial,639,High,1989,1992,NA,NA,USFWS,terrestrial/freshWater,biological-birds,,Replied-639
David Irons,Replied,Project Data,marineBirds,643,Low,1995,1995,NA,NA,USFWS,marine,biological-birds,,Replied-643
Jeep Rice,Replied,Project Data,oil,646,Low,2002,2003,NA,NA,NOAA,marine,oil,,Replied-646
Jeep Rice,Replied,Project Data,oil,648,Low,2003,2004,NA,NA,NOAA,marine,oil,,Replied-648
Jeep Rice,Replied,Project Data,fish,650,Low,2004,2004,NA,NA,NOAA,marine,biological-fish,,Replied-650
Jia Wang,Replied,Follow-up for model code with Jia,modeling,661,Normal,1995,1998,NA,NA,UAF,marine,modeling,,Replied-661
Mark Carls,Emailed,Project Data,fish,665,Normal,1995,1996,NA,NA,NOAA,marine,biological-fish,,Emailed-665
Mark Carls,Emailed,Project Data,fish,667,Normal,1999,1999,NA,NA,NOAA,marine,biological-fish,,Emailed-667
Mark Carls,Emailed,Project Data,fish,669,Normal,2000,2001,NA,NA,NOAA,marine,biological-fish,,Emailed-669
John Piatt,Emailed,Project Data,fish,672,Normal,1995,1996,NA,NA,USGS,marine,biological-fish,,Emailed-672
John Piatt,Emailed,Project Data,fish,674,Normal,1996,1996,marine birds,NA,USGS,marine,biological-fish,,Emailed-674
John Piatt,Emailed,Project Data,marineBirds,676,Normal,1999,2002,NA,NA,USGS,marine,biological-birds,,Emailed-676
John Piatt,Emailed,Project Data,marineBirds,678,Normal,2000,2000,NA,NA,USGS,marine,biological-birds,,Emailed-678
John Piatt,Emailed,Project Data,marineBirds,680,Normal,2002,2002,NA,NA,USGS,marine,biological-birds,,Emailed-680
John Piatt,Emailed,Project Data,marineBirds,682,Normal,1998,2001,NA,NA,USGS,marine,biological-birds,,Emailed-682
Dan Rosenberg,Replied,Project Data - June Follow-up,marineBirds,686,High,1998,2001,NA,NA,ADFG,marine,biological-birds,,Replied-686
Michel Boufadel,Replied,Project Data,oil,695,High,2007,2011,NA,NA,NJ Inst. Of Tech,marine,oil,,Replied-695
Gary Marty,Unrecoverable,Refused to share data,fish,698,Normal,2000,2003,NA,unwilling to share,NOAA,marine,biological-fish,,Unrecoverable-698
Gary Marty,Unrecoverable,Refused to share data,fish,700,Normal,1994,1995,NA,unwilling to share,NOAA,marine,biological-fish,,Unrecoverable-700
Gary Marty,Unrecoverable,Refused to share data,oil,702,Normal,1989,1990,NA,unwilling to share,NOAA,marine,oil,,Unrecoverable-702
Richard Kocan,Emailed,Disease data,fish,704,Normal,1996,1999,NA,NA,UCD,marine,biological-fish,,Emailed-704
Mary Anne Bishop,Unrecoverable,"Project Data with EVOSTC - refused, unpublished",inverts,709,High,2003,2004,NA,unwilling to share,PWSSC,marine,biological-benthicInverts,,Unrecoverable-709
Mary Anne Bishop,published,Project Data ongoing,marineBirds,711,Normal,2007,2009,NA,archived with current data,PWSSC,marine,biological-birds,,published-711
Mary Anne Bishop,Replied,SEA: Bird Predation on Herring Spawn in Alaska: 1994 - 1999,fish,713,High,1994,1999,NA,NA,PWSSC,marine,biological-fish,,Replied-713
Mary Anne Bishop,Unrecoverable,Project Data Fil Report,marineBirds,715,Normal,1999,1999,NA,non digital,PWSSC,marine,biological-birds,,Unrecoverable-715
Shari Vaughan,Emailed,302-M and 320-T,oceanography,717,Normal,1995,1999,NA,NA,Navy,marine,physical,,Emailed-717
Dan Roby,Emailed,Project Data,marineBirds,731,Normal,1995,2000,NA,NA,USFWS,marine,biological-birds,,Emailed-731
Dan Roby,Emailed,Project Data,marineBirds,733,Normal,1998,2001,NA,NA,USFWS,marine,biological-birds,,Emailed-733
Julie Raymond-Yakoubian,Unrecoverable,Project Data - no info or report,fish,738,Normal,1989,1989,NA,no contact info,UAF,marine,biological-fish,,Unrecoverable-738
Marc Romano,Replied,Project Data,marineBirds,740,High,1995,2000,NA,NA,USFWS,marine,biological-birds,,Replied-740
Dan Gillikin,Replied,Project Data,fish,744,Normal,1994,1999,NA,NA,FWS,marine,biological-fish,,Replied-744
Mike Castellini,Replied,Access DB - Brian Fadely,mammals,748,Normal,1998,2001,NA,NA,UAF,marine,biological-mammals,,Replied-748
Dan Gillikin,Replied,Project Data,fish,753,Normal,1996,2002,NA,NA,FWS,marine,biological-fish,,Replied-753
Dan Gillikin,Replied,Call dan at FS,fish,756,Normal,1996,1996,NA,NA,FWS,marine,biological-fish,,Replied-756
Stephen Okkonen,Emailed,DATA: Okkonen dataset??,oceanography,761,Normal,2002,2006,NA,NA,ADFG,marine,physical,,Emailed-761
Mark Willette,Emailed,Herring tal habitat data??,fish,769,Normal,1994,1998,NA,NA,ADFG,marine,biological-fish,,Emailed-769
