PI,Status,Subject,category,parentTask,Priority,start,end,secondaryCat,reason,agency,ecosystem,dataType,dataEditNotes,project
Kim Sundberg,Unrecoverable,Project Data,anthropogenic,1075,Normal,1994,1995,NA,no contact info,ADFG,NA,social,,Unrecoverable-1075
Not Available,Unrecoverable,no info or report,terrestrial,1081,Normal,1989,1991,NA,no contact info,NA,terrestrial/freshWater,biological-habitat,,Unrecoverable-1081
Not Available,Unrecoverable,no info or report,terrestrial,1083,Normal,1989,1990,NA,no contact info,NA,terrestrial/freshWater,biological-mammals,,Unrecoverable-1083
Allen Macklin,Emailed,CD - Rob Bochenek may have,dataMgmt,1089,Normal,2004,2004,NA,NA,AOOS,marine,social,,Emailed-1089
Sue Mauger,Replied,Check Cook Inlet Keeper,freshWater,1091,Normal,2002,2002,NA,NA,Cook Inletkeeper,terrestrial/freshWater,physical,,Replied-1091
Marianne See,Unrecoverable,report says workshop papers with EVOSTC,meta,1098,Normal,1999,2000,NA,data lost,ADFG,NA,social,,Unrecoverable-1098
Not Available,Unrecoverable,no info or report,anthropogenic,1100,Normal,1999,1999,NA,no contact info,NA,NA,social,,Unrecoverable-1100
Jon Isaacs,Replied,Project Data,habitat,1107,Normal,1997,1997,NA,NA,URS,marine,biological-habitat,,Replied-1107
Eric Meyers,Emailed,project data,terrestrial,1119,Normal,1994,1994,NA,NA,USFWS,terrestrial/freshWater,biological-habitat,,Emailed-1119
David Scheel,Replied,Program planning data?,dataMgmt,1121,Normal,1994,1994,NA,NA,Alaska Pacific U.,NA,social,,Replied-1121
Susan Ruddy,Unrecoverable,no report - does DB exist?,dataMgmt,1127,Normal,1993,1993,NA,no contact info,TNC,NA,social,,Unrecoverable-1127
Not Available,Unrecoverable,no info or report,oil,1130,Normal,1991,1991,NA,no contact info,NA,marine,oil,,Unrecoverable-1130
Not Available,Unrecoverable,no info or report,unk,1141,Normal,2004,2008,NA,no contact info,NA,NA,social,,Unrecoverable-1141
Shannon Atkinson,Unrecoverable,#558 - Dataset,mammals,1184,High,2001,2005,NA,requested funding,Alaska SeaLife Center,marine,biological-mammals,,Unrecoverable-1184
David Scheel,Replied,#320-Y - Dataset,fish,1189,Normal,1995,1998,NA,NA,Alaska Pacific U.,marine,biological-fish,,Replied-1189
David Scheel,Replied,#009-D: Dataset,inverts,1192,Normal,1995,1997,NA,NA,Alaska Pacific U.,marine,biological-benthicInverts,,Replied-1192
Richard Carson,Emailed,ES01 - Dataset,anthropogenic,1195,Normal,1989,1991,NA,NA,UCSD,NA,social,,Emailed-1195
Richard Carson,Emailed,ES07 - Dataset,anthropogenic,1198,Normal,1989,1991,NA,NA,UCSD,NA,social,,Emailed-1198
Richard Lanctot,Replied,#555 - Dataset,marineBirds,1201,High,2001,2001,NA,NA,USFWS,marine,biological-birds,,Replied-1201
Rita Miraglia,Replied,#017 - Dataset,anthropogenic,1204,Normal,1993,1993,NA,NA,ADFG,NA,social,,Replied-1204
Richard McMahon,Unrecoverable,TS03 Dataset - no info,habitat,1210,Normal,1989,1993,NA,no contact info,ADNR,marine,biological-habitat,,Unrecoverable-1210
Lee Hulbert,Replied,#096 - Dataset,fish,1214,Normal,2000,2002,NA,NA,ADFG,marine,biological-fish,,Replied-1214
Fred Allendorf,Emailed,190 - Dataset,fish,1216,Normal,1996,2003,NA,NA,U. Montana,marine,biological-fish,,Emailed-1216
Ephim Ahok,Emailed,225 - Dataset,fish,1219,Normal,1996,1999,NA,NA,Chugachmiut,marine,biological-fish,,Emailed-1219
Geoffrey Coble,Emailed,139-A2 - Dataset,terrestrial,1222,Normal,1997,2000,NA,NA,coble geophysics,terrestrial/freshWater,biological-habitat,,Emailed-1222
Jeffrey Short,Replied,195 - Dataset,oil,1225,Normal,1996,2002,NA,NA,NOAA,marine,oil,,Replied-1225
Dianne Lyles,Unrecoverable,062 Dataset - no info,habitat,1227,Normal,1992,1993,NA,no contact info,ADNR,marine,biological-habitat,,Unrecoverable-1227
Daniel Huttunen,Unrecoverable,FS20 Dataset - no info,oil,1231,Normal,1989,1989,NA,no contact info,State of Alaska,marine,oil,,Unrecoverable-1231
AJ Paul,Unrecoverable,320-U - Dataset,modeling,1233,Normal,1995,1998,NA,data lost,NOAA,marine,modeling,,Unrecoverable-1233
Ken Hodges,Unrecoverable,project data - origils lost,habitat,1326,Normal,1997,1998,NA,data lost,USFS,marine,biological-habitat,,Unrecoverable-1326
Art Weiner,Unrecoverable,project data,monitoring,1336,Normal,1993,1995,NA,no contact info,ADNR,marine,physical,,Unrecoverable-1336
Dale Kiefer,Emailed,810 - Model input data,modeling,1368,Normal,2007,2007,NA,NA,USC,marine,modeling,,Emailed-1368
Mark Willette,Replied,/320-A data,fish,1383,Normal,1994,1995,NA,NA,ADFG,marine,biological-fish,,Replied-1383
Lisa Seeb,Replied,Project data,fish,1396,Normal,1992,1997,NA,NA,UW,marine,biological-fish,,Replied-1396
Brian Bue,Published,salmon egg injury data - hydrocarbon DB,fish,1439,Normal,1989,1992,NA,NA,Bue Consulting,marine,biological-fish,,Published-1439
Don Calkins,Emailed,Stellar sea lion injury - hydrocarbon DB,mammals,1441,Normal,1989,1992,NA,NA,Alaska SeaLife Center,marine,biological-mammals,,Emailed-1441
William Doldson,Unrecoverable,urchin data - hydrocarbon DB,inverts,1444,Normal,1989,1989,NA,no contact info,ADFG,marine,biological-benthicInverts,,Unrecoverable-1444
Linc Freese,SentData,crab injury - hydrocarbon DB,inverts,1446,Normal,1989,1992,NA,NA,NOAA,marine,biological-benthicInverts,,SentData-1446
Jeffrey Hughes,Unrecoverable,peregrine data ,terrestrial,1452,Normal,1989,1990,NA,data uvailable,ADFG,terrestrial/freshWater,biological-birds,,Unrecoverable-1452
Michael Kaill,SentData,oyster - hydrocarbon DB,inverts,1454,Normal,1989,1989,NA,NA,ADFG,marine,biological-benthicInverts,,SentData-1454
Dale Kiefer,Emailed,data for website,fish,1456,Normal,2004,2004,NA,NA,USC,marine,biological-fish,,Emailed-1456
Michael Murphy,SentData,spawning damage - hydrocarbon DB,fish,1459,Normal,1997,1998,NA,NA,ADFG,marine,biological-fish,,SentData-1459
Chuck O'Clair,Replied,spot shrimp abundance,inverts,1461,Normal,1999,2002,NA,NA,NOAA,marine,biological-benthicInverts,,Replied-1461
Chuck O'Clair,Unrecoverable,crab injury - hydrocarbon DB,inverts,1463,Normal,1989,1989,NA,no contact info,NOAA,marine,biological-benthicInverts,,Unrecoverable-1463
Chuck O'Clair,Published,sediment data - hydrocarbon DB,oil,1465,Normal,1994,1995,NA,NA,NOAA,marine,oil,,Published-1465
Jeffrey Short,SentData,data - hydrocarbon DB,oil,1473,Normal,1992,2008,NA,NA,NOAA,marine,oil,,SentData-1473
Jeffrey Short,SentData,oil data - hydrocarbon DB,oil,1480,Normal,2005,2005,NA,NA,NOAA,marine,oil,,SentData-1480
Jeffrey Short,SentData,oil data - hydrocarbon DB,oil,1482,Normal,2000,2001,NA,NA,NOAA,marine,oil,,SentData-1482
Jeffrey Short,SentData,oil data - hydrocarbon DB,oil,1484,Normal,2000,2001,NA,NA,NOAA,marine,oil,,SentData-1484
Jeffrey Short,SentData,mussel oil data - hydrocarbon DB,oil,1486,Normal,1989,1992,NA,NA,NOAA,marine,oil,,SentData-1486
Jeffrey Short,SentData,oil data - hydrocarbon DB,oil,1488,Normal,1989,1989,NA,NA,NOAA,marine,oil,,SentData-1488
Usha Varasi,SentData,fish sampling - hydrocarbon DB,fish,1490,Normal,1989,1992,NA,NA,NOAA,marine,biological-fish,,SentData-1490
Robert White,Emailed,mink - hydrocarbon DB,terrestrial,1492,Normal,1989,1991,NA,NA,UAF,terrestrial/freshWater,biological-mammals,,Emailed-1492
Jothan Lewis,SentData,deer data - hydrocarbon DB,terrestrial,1497,Normal,1989,1990,NA,NA,ADFG,terrestrial/freshWater,biological-mammals,,SentData-1497
Banta,Published,NA,inverts,974,NA,1993,2009,inverts,NA,PWSRCAC,marine,biological-benthicInverts,,Published-974
Batten,Published,NA,oceanography,170,NA,2000,2009,plankton,NA,SAHFOS,marine,biological-plankton,,Published-170
"Bishop, Kuletz",Published,NA,marineBirds,,NA,2011,2012,predation on Herring,NA,PWSSC,marine,biological-birds,can't find this,Published-
Brown,Published,NA,oceanography,645,NA,2009,2012,larvae,NA,UAF,marine,physical,,Published-645
Campbell,Published,NA,oceanography,944,NA,1989,1989,oceanography,NA,PWSSC,marine,physical,,Published-944
Carroll,Published,NA,anthropogenic,476,NA,2000,2000,Parcel process,NA,ADNR,NA,social,changed dates from 2003 to 2000,Published-476
Cody,Published,NA,marineBirds,279,NA,1993,2004,colony surveys,NA,Sound Eco Adventures,marine,biological-birds,,Published-279
Cokelet,Published,NA,oceanography,1443,NA,1993,1993,oceanography,NA,NOAA,marine,physical,,Published-1443
Cooney,Published,NA,oceanography,693,NA,2004,2008,plankton,NA,UAF,marine,physical,,Published-693
Cooper,Published,NA,oceanography,413,NA,1994,1997,river flow,NA,Cook Inletkeeper,marine,physical,,Published-413
Day,Published,NA,oceanography,500,NA,2004,2005,oceanography,NA,ABR Inc,marine,physical,,Published-500
Day,Published,NA,inverts,718,NA,1997,2001,infau inverts,NA,ABR Inc,marine,biological-benthicInverts,,Published-718
Dean,Published,NA,fish,460,NA,2004,2004,NA,NA,UAF,marine,biological-fish,,Published-460
Doroff,Published,NA,oceanography,1408,NA,1990,1995,oceanography,NA,KBRR (state),marine,physical,,Published-1408
Edmundson,Published,NA,fish,565,NA,2001,2013,NA,NA,NOAA,marine,biological-fish,,Published-565
Esler,Published,NA,marineBirds,814,NA,1984,1998,population data,NA,USGS,marine,biological-birds,add project 813 to the spreadsheet,Published-814
Feder,Published,NA,inverts,912,NA,1993,2004,infau inverts,NA,UAF,marine,biological-benthicInverts,,Published-912
Frost,Published,NA,mammals,143,NA,1975,2001,NA,NA,ADFG,marine,biological-mammals,"looks like it's also 143, although it begins long before 1989 (redmine page for cluster 143 includes the same doi as this project)",Published-143
Haldorson,Published,NA,fish,736,NA,1989,2001,NA,NA,UAF,marine,biological-fish,,Published-736
"Hayes, Kuletz, Irons",Published,NA,marineBirds,857,NA,1995,1998,nesting,NA,USFWS,marine,biological-birds,,Published-857
Highsmith,Published,NA,fish,861,NA,1995,2000,NA,NA,UAF,marine,biological-fish,,Published-861
Highsmith,Published,NA,habitat,likely a different project from 861; could be 626,NA,1989,1991,habitat assessment,NA,UAF,marine,biological-habitat,,Published-likely a different project from 861; could be 626
Honnold,Published,NA,fish,990,NA,1990,1995,NA,NA,ADFG,marine,biological-fish,df35d.228.6,Published-990
Hoover-Miller,Published,NA,mammals,may be 594,NA,1995,1998,NA,NA,Alaska SeaLife Center,marine,biological-mammals,"years in spreadsheet were 1992-1993, looks like it should  be 1995-1998",Published-may be 594
Jewett,Published,NA,habitat,likely 460,NA,1997,2010,algae,NA,UAF,marine,biological-habitat,,Published-likely 460
Kendziorek,Published,NA,oceanography,"same as 791? Years are the same, however, there is no oceanography dataset in the package on the portal",NA,1990,1995,oceanography,NA,ADEC,marine,physical,,"Published-same as 791? Years are the same, however, there is no oceanography dataset in the package on the portal"
konar,Published,NA,habitat,478,NA,1994,1998,communties,NA,UAF,marine,biological-habitat,doi:10.5063/F1JW8BSV,Published-478
Lees,Published,NA,inverts,1520? (not sure which year 1520 is associated with),NA,2003,2004,infau inverts,NA,Littoral Ecological & Environmental Services,marine,biological-benthicInverts,,Published-1520? (not sure which year 1520 is associated with)
Lees,Published,NA,inverts,948,NA,2000,2000,infau inverts,NA,Littoral Ecological & Environmental Services,marine,biological-benthicInverts,df35c.9.25,Published-948
Lowell Fritz,Published,NOAA Steller sea lion surveys - Lowell Fritz,mammals,"dataset = 1527, cluster unknown",Normal,2007,2007,NA,NA,NOAA,marine,biological-mammals,marked 'replied' on redmine,"Published-dataset = 1527, cluster unknown"
Meuret-Woody,Published,NA,fish,1038,NA,2007,2008,NA,NA,Sitka Tribe,marine,biological-fish,,Published-1038
Moran,Published,NA,fish,1347,NA,2007,2011,NA,NA,NOAA,marine,biological-fish,,Published-1347
Norcross,Published,NA,fish,story77,NA,1995,1999,NA,NA,UAF,marine,biological-fish,,Published-story77
O'Meara,Published,NA,marineBirds,1104,NA,1999,1999,"population, nesting",NA,Pratt Museum,marine,biological-birds,,Published-1104
Olsen,Published,NA,fish,225,NA,1994,1998,NA,NA,USFWS,marine,biological-fish,,Published-225
Otis,Published,NA,fish,801,NA,2005,2007,NA,NA,ADFG,marine,biological-fish,,Published-801
Robards,Published,NA,fish,416,NA,1997,1999,NA,NA,UAF,marine,biological-fish,,Published-416
Rohwer,Published,NA,marineBirds,1180,NA,1989,1989,oiled birds,NA,University of Washington,marine,biological-birds,,Published-1180
Salomon,Published,NA,marineBirds,164,NA,2003,2004,predation on K. tunicata,NA,University of Washington,marine,biological-birds,,Published-164
Seaman,Published,NA,habitat,925,NA,1982,2000,metadata,NA,NOAA,marine,biological-habitat,,Published-925
Seitz,Published,NA,fish,1044,NA,2000,2002,NA,NA,USGS,marine,biological-fish,,Published-1044
Simpkins,Published,NA,mammals,959,NA,1992,1999,NA,NA,ADFG,marine,biological-mammals,,Published-959
Sturdevant,Published,NA,oceanography,204,NA,1994,1996,plankton,NA,NOAA,marine,physical,,Published-204
Teerlink,Published,NA,mammals,story217,NA,1978,2009,NA,NA,UAF,marine,biological-mammals,,Published-story217
Weingartner,Published,NA,oceanography,63,NA,1970,2012,oceanography,NA,UAF,marine,physical,,Published-63
Willette,Published,NA,fish,1494,NA,2005,2007,NA,NA,ADFG,marine,biological-fish,,Published-1494
Marilyn Dahlheim,Published,hydrocarbon DB,mammals,729,Normal,1989,1992,NA,NA,NOAA,marine,biological-mammals,,Published-729
Vernon Byrd,SentData,hydrocarbon database,marineBirds,807,Low,1989,1992,NA,NA,ANMWR,marine,biological-birds,,SentData-807
Stephen Fried,SentData,salmon spawn injury - hydrocarbon DB,fish,1448,Normal,1989,1992,NA,NA,ADFG,marine,biological-fish,,SentData-1448
Evan Haynes,SentData,shellfish/bottomfish injury - hydrocarbon DB,fish,1450,Normal,1989,1992,NA,NA,NOAA,marine,biological-fish,,SentData-1450
Chuck O'Clair,Published,sediment data - hydrocarbon DB,oil,1467,Normal,1991,1992,NA,NA,NOAA,marine,oil,,Published-1467
Samuel Patten,SentData,duck data - hydrocarbon DB,marineBirds,1469,Normal,1989,1994,NA,NA,ADFG,marine,biological-birds,,SentData-1469
Richard Sellers,SentData,bear data - hydrocarbon DB,terrestrial,1499,Normal,1989,1991,NA,NA,ADFG,terrestrial/freshWater,biological-mammals,,SentData-1499
Carls,Published,NA,fish,742,NA,1973,2010,NA,NA,NOAA,marine,biological-fish,,Published-742
Crawford,Published,NA,oceanography,532,NA,2003,2003,oceanography,NA,PWSSC,marine,physical,,Published-532
Fall,Published,NA,anthropogenic,1002,NA,2000,2009,resource use,NA,EVOSTC,NA,social,,Published-1002
Ferren,Published,NA,fish,762,NA,1998,1999,NA,NA,PWS Aquaculture Association,marine,biological-fish,,Published-762
Kendziorek,Published,NA,oil,151,NA,1989,1989,oil maps,NA,ADEC,marine,oil,,Published-151
Lindeberg,Published,NA,habitat,707,NA,2010,2010,map,NA,NOAA,marine,biological-habitat,df35b.194.6,Published-707
Matkin,Published,NA,mammals,127,NA,1984,2012,NA,NA,NGOS,marine,biological-mammals,Photographic summaries: df35d.136.17,Published-127
Rice,Published,NA,mammals,445,NA,2006,2009,NA,NA,NOAA,marine,biological-mammals,,Published-445
Schelske,Published,NA,fish,832,NA,1997,1997,NA,NA,USFS,marine,biological-fish,,Published-832
Schmidt,Published,NA,oceanography,610,NA,1990,1996,plankton,NA,Golder Associates LTD,marine,physical,,Published-610
Thorne,Published,NA,oceanography,534,NA,2001,2001,plankton,NA,PWSSC,marine,physical,,Published-534
Dianne Munson,Unrecoverable,"Dianne Munson: Shoreline Assessment and Oil Removal near Chenega Bay in Prince William Sound, Alaska: 1994",oil,336,Normal,1994,1994,NA,data lost,ADEC (state),marine,oil,,Unrecoverable-336
Brenda Ballachey,Replied,MM06-D: Sea Otter Prey Selection and Foraging Success in Western PWS,mammals,634,Normal,1992,1992,NA,NA,USGS,marine,biological-mammals,,Replied-634
Mark Willette,Replied,320-E: 1 - catches of various fish species in several types of nets,fish,766,Normal,1994,1999,NA,NA,ADFG,marine,biological-fish,,Emailed-766
